merchant_id,segment,week,health_score,survival_prob_4w,p_failure_4w,revenue_at_risk,net_revenue_at_risk,refund_rate,chargeback_rate,anomaly_score,cluster_label,umap_x,umap_y,xgb_predicted_score,risk_tier,top_driver_1,top_driver_1_val,top_driver_2,top_driver_2_val,alert_text
MID_0001,healthy,24,78.16837672317136,0.5,0.5,398508.46,390576.74,0.0203,0.00341,9.04,Risky,0.5299,3.7099,78.16,Green,refund_rate,4.8843,refund_x_chargeback,1.2663,"Score driven by refund_rate (reduced risk, 4.88pts) and refund_x_chargeback (reduced risk, 1.27pts)."
MID_0002,healthy,24,67.53807637164667,0.5,0.5,304236.41,298308.35,0.15149,0.02571,15.09,Healthy,12.9605,12.0824,67.63,Yellow,refund_x_chargeback,-2.5646,refund_rate,1.0843,"Score driven by refund_x_chargeback (increased risk, 2.56pts) and refund_rate (reduced risk, 1.08pts)."
MID_0003,healthy,24,76.67587736959767,0.5,0.5,134371.11,131706.74,0.04034,0.00929,10.76,Risky,0.3213,3.5864,76.7,Green,refund_rate,3.9963,refund_x_chargeback,1.0163,"Score driven by refund_rate (reduced risk, 4.00pts) and refund_x_chargeback (reduced risk, 1.02pts)."
MID_0004,healthy,24,64.1231792359324,0.5,0.5,872520.5,855690.6,0.17752,0.03529,15.33,Healthy,12.8171,11.6638,64.0,Yellow,refund_rate,-2.5964,refund_x_chargeback,-2.2751,"Score driven by refund_rate (increased risk, 2.60pts) and refund_x_chargeback (increased risk, 2.28pts)."
MID_0005,healthy,24,68.54318133877412,0.5,0.5,297104.65,291287.25,0.14003,0.02442,14.06,Healthy,13.1201,12.1522,68.61,Yellow,refund_x_chargeback,-2.1865,refund_rate,1.286,"Score driven by refund_x_chargeback (increased risk, 2.19pts) and refund_rate (reduced risk, 1.29pts)."
MID_0006,healthy,24,79.0898981852208,0.5,0.5,221554.43,217147.98,0.01,0.001,10.02,Risky,0.5379,3.6693,79.07,Green,refund_rate,5.0833,refund_x_chargeback,1.4546,"Score driven by refund_rate (reduced risk, 5.08pts) and refund_x_chargeback (reduced risk, 1.45pts)."
MID_0007,healthy,24,74.71984640460462,0.5,0.5,566040.73,554911.03,0.09112,0.01906,1.71,Healthy,7.3442,6.507,74.63,Yellow,refund_rate,2.4772,anomaly_score,2.3981,"Score driven by refund_rate (reduced risk, 2.48pts) and anomaly_score (reduced risk, 2.40pts)."
MID_0008,healthy,24,72.40409020686022,0.5,0.5,107617.29,105513.67,0.10878,0.02334,7.68,Healthy,13.5824,12.8331,72.44,Yellow,refund_rate,2.0805,refund_x_chargeback,-1.3955,"Score driven by refund_rate (reduced risk, 2.08pts) and refund_x_chargeback (increased risk, 1.40pts)."
MID_0009,healthy,24,63.43812207278613,0.5,0.5,602891.58,591294.39,0.1976,0.03661,13.91,Healthy,12.8446,11.5158,63.53,Yellow,refund_rate,-3.8891,refund_x_chargeback,-1.873,"Score driven by refund_rate (increased risk, 3.89pts) and refund_x_chargeback (increased risk, 1.87pts)."
MID_0010,healthy,24,77.0859794151181,0.5,0.5,199034.28,195077.15,0.0453,0.01036,7.64,Healthy,9.1168,7.1496,77.07,Green,refund_rate,3.876,anomaly_score,0.9597,"Score driven by refund_rate (reduced risk, 3.88pts) and anomaly_score (reduced risk, 0.96pts)."
