merchant_id,segment,week,health_score,survival_prob_4w,p_failure_4w,revenue_at_risk,net_revenue_at_risk,refund_rate,chargeback_rate,anomaly_score,cluster_label,umap_x,umap_y,xgb_predicted_score,risk_tier,top_driver_1_x,top_driver_1_val_x,top_driver_2_x,top_driver_2_val_x,alert_text_x,survival_prob_now,gmv_4w_avg,drift_score,drift_euclidean,drift_composite,top_driver_1_y,top_driver_1_val_y,top_driver_2_y,top_driver_2_val_y,alert_text_y,watchlist_flag,alert_severity
MID_0001,healthy,24,78.16837672317136,0.5,0.5,398508.46,390576.74,0.0203,0.00341,9.04,Risky,7.1019,0.5617,78.16,Green,refund_rate,4.8843,refund_x_chargeback,1.2663,"Score driven by refund_rate (reduced risk, 4.88pts) and refund_x_chargeback (reduced risk, 1.27pts).",0.5,198292.92,0.9832,0.251,0.6903,refund_rate,4.8843,refund_x_chargeback,1.2663,"Score driven by refund_rate (reduced risk, 4.88pts) and refund_x_chargeback (reduced risk, 1.27pts).",1,HIGH
MID_0002,healthy,24,67.53807637164667,0.5,0.5,304236.41,298308.35,0.15149,0.02571,15.09,Healthy,-2.8869,6.7484,67.63,Yellow,refund_x_chargeback,-2.5646,refund_rate,1.0843,"Score driven by refund_x_chargeback (increased risk, 2.56pts) and refund_rate (reduced risk, 1.08pts).",0.5,148201.48750000002,0.9083,0.1497,0.6049,refund_x_chargeback,-2.5646,refund_rate,1.0843,"Score driven by refund_x_chargeback (increased risk, 2.56pts) and refund_rate (reduced risk, 1.08pts).",1,HIGH
MID_0003,healthy,24,76.67587736959767,0.5,0.5,134371.11,131706.74,0.04034,0.00929,10.76,Risky,7.1281,0.2194,76.7,Green,refund_rate,3.9963,refund_x_chargeback,1.0163,"Score driven by refund_rate (reduced risk, 4.00pts) and refund_x_chargeback (reduced risk, 1.02pts).",0.5,66609.3575,0.785,0.2015,0.5516,refund_rate,3.9963,refund_x_chargeback,1.0163,"Score driven by refund_rate (reduced risk, 4.00pts) and refund_x_chargeback (reduced risk, 1.02pts).",1,HIGH
MID_0004,healthy,24,64.1231792359324,0.5,0.5,872520.5,855690.6,0.17752,0.03529,15.33,Healthy,-2.5566,6.2448,64.0,Yellow,refund_rate,-2.5964,refund_x_chargeback,-2.2751,"Score driven by refund_rate (increased risk, 2.60pts) and refund_x_chargeback (increased risk, 2.28pts).",0.5,420747.465,0.904,0.1573,0.6053,refund_rate,-2.5964,refund_x_chargeback,-2.2751,"Score driven by refund_rate (increased risk, 2.60pts) and refund_x_chargeback (increased risk, 2.28pts).",1,HIGH
MID_0005,healthy,24,68.54318133877412,0.5,0.5,297104.65,291287.25,0.14003,0.02442,14.06,Healthy,-2.7824,6.8641,68.61,Yellow,refund_x_chargeback,-2.1865,refund_rate,1.286,"Score driven by refund_x_chargeback (increased risk, 2.19pts) and refund_rate (reduced risk, 1.29pts).",0.5,145435.04750000002,1.0,0.1699,0.668,refund_x_chargeback,-2.1865,refund_rate,1.286,"Score driven by refund_x_chargeback (increased risk, 2.19pts) and refund_rate (reduced risk, 1.29pts).",1,HIGH
MID_0006,healthy,24,79.0898981852208,0.5,0.5,221554.43,217147.98,0.01,0.001,10.02,Risky,7.0826,0.5884,79.07,Green,refund_rate,5.0833,refund_x_chargeback,1.4546,"Score driven by refund_rate (reduced risk, 5.08pts) and refund_x_chargeback (reduced risk, 1.45pts).",0.5,110161.23,1.0,0.4787,0.7915,refund_rate,5.0833,refund_x_chargeback,1.4546,"Score driven by refund_rate (reduced risk, 5.08pts) and refund_x_chargeback (reduced risk, 1.45pts).",1,HIGH
MID_0007,healthy,24,74.71984640460462,0.5,0.5,566040.73,554911.03,0.09112,0.01906,1.71,Healthy,2.7329,9.1623,74.63,Yellow,refund_rate,2.4772,anomaly_score,2.3981,"Score driven by refund_rate (reduced risk, 2.48pts) and anomaly_score (reduced risk, 2.40pts).",0.5,278242.47750000004,0.4804,0.1224,0.3372,refund_rate,2.4772,anomaly_score,2.3981,"Score driven by refund_rate (reduced risk, 2.48pts) and anomaly_score (reduced risk, 2.40pts).",0,LOW
MID_0008,healthy,24,72.40409020686022,0.5,0.5,107617.29,105513.67,0.10878,0.02334,7.68,Healthy,-2.9198,8.1452,72.44,Yellow,refund_rate,2.0805,refund_x_chargeback,-1.3955,"Score driven by refund_rate (reduced risk, 2.08pts) and refund_x_chargeback (increased risk, 1.40pts).",0.5,52590.53999999999,0.922,0.1476,0.6122,refund_rate,2.0805,refund_x_chargeback,-1.3955,"Score driven by refund_rate (reduced risk, 2.08pts) and refund_x_chargeback (increased risk, 1.40pts).",1,HIGH
MID_0009,healthy,24,63.43812207278613,0.5,0.5,602891.58,591294.39,0.1976,0.03661,13.91,Healthy,-2.3962,6.2285,63.53,Yellow,refund_rate,-3.8891,refund_x_chargeback,-1.873,"Score driven by refund_rate (increased risk, 3.89pts) and refund_x_chargeback (increased risk, 1.87pts).",0.5,289929.66500000004,0.3377,0.0968,0.2413,refund_rate,-3.8891,refund_x_chargeback,-1.873,"Score driven by refund_rate (increased risk, 3.89pts) and refund_x_chargeback (increased risk, 1.87pts).",0,LOW
MID_0010,healthy,24,77.0859794151181,0.5,0.5,199034.28,195077.15,0.0453,0.01036,7.64,Healthy,1.7202,7.0644,77.07,Green,refund_rate,3.876,anomaly_score,0.9597,"Score driven by refund_rate (reduced risk, 3.88pts) and anomaly_score (reduced risk, 0.96pts).",0.5,98928.2275,0.5588,0.3532,0.4766,refund_rate,3.876,anomaly_score,0.9597,"Score driven by refund_rate (reduced risk, 3.88pts) and anomaly_score (reduced risk, 0.96pts).",1,MEDIUM
